vehicle_id,vehicle_type,distance_km,avg_speed_kmph,load_kg,traffic_index,road_gradient,weather,fuel_consumed_l
TS08-FN-6965,van,22.8,73.5,2872,0.347,-0.0035,clear,7.48
TS08-TQ-2499,bus,8.9,94.7,5945,0.421,-0.0025,clear,8.07
TS11-BQ-4955,ev_van,20.2,15.4,2116,0.985,0.0166,clear,3.96
TS10-UR-6856,van,49.0,32.3,1443,0.084,0.072,clear,17.38
TS11-SV-4625,truck,31.1,61.6,4470,0.112,0.0296,fog,15.33
TS08-GP-5785,ev_van,12.8,46.5,1358,0.435,0.0831,rain,1.73
TS07-FZ-7535,van,20.8,64.9,636,0.169,0.0939,clear,6.32
TS10-FB-3621,van,57.4,60.7,2592,0.685,-0.0109,clear,18.51
TS11-NU-5379,truck,27.6,77.4,5471,0.361,0.0653,rain,20.09
TS09-PY-4936,bus,28.2,17.9,3900,0.846,-0.0098,clear,23.94
TS09-XJ-8558,bus,11.7,48.6,1478,0.749,-0.0114,clear,5.86
TS09-WM-6665,ev_van,20.4,83.4,552,0.471,0.0131,clear,2.18
TS08-QI-6482,van,49.4,42.1,2644,0.845,-0.0078,rain,20.32
TS10-LL-3898,van,47.8,53.8,702,0.101,0.0596,clear,12.39
TS10-PN-1229,bus,27.8,13.8,628,0.581,0.0659,fog,25.24
TS07-AW-8663,truck,53.9,30.6,5080,0.605,0.0567,rain,43.56
TS07-BU-5722,van,24.7,50.5,2172,0.246,0.049,clear,7.61
TS08-PG-2783,truck,52.3,45.1,1133,0.05,0.0737,clear,23.61
TS08-XT-2710,van,4.8,71.3,779,0.535,0.0727,clear,1.62
TS09-WY-7866,van,22.8,62.8,2409,0.514,0.0844,clear,9.84
TS07-GF-2356,van,51.7,85.1,2803,0.654,0.0632,clear,27.75
TS07-IO-4581,bus,54.4,82.9,2964,0.213,0.0227,fog,37.11
TS09-GD-9989,ev_van,46.1,32.0,2022,0.18,0.043,clear,6.06
TS09-FV-8474,ev_van,41.2,13.5,935,0.978,0.0389,clear,7.22
TS11-EQ-9821,van,49.5,82.9,2169,0.114,-0.0071,clear,14.83
TS11-FX-4794,truck,43.3,39.3,4546,0.999,0.0774,clear,34.09
TS09-OU-2082,bus,17.5,40.8,5091,0.72,0.0895,fog,18.26
TS09-VO-3471,truck,29.6,25.1,6252,0.629,0.0981,clear,28.13
TS07-OS-5946,truck,40.7,69.5,2416,0.34,0.0098,clear,17.93
TS11-PN-1499,van,36.5,35.2,618,0.868,-0.0085,rain,11.81
TS09-ES-2450,van,53.5,26.7,2461,0.91,-0.0067,clear,22.41
TS11-HL-2304,ev_van,30.0,53.8,275,0.722,0.0765,clear,3.3
TS08-XH-5616,truck,13.1,74.3,5497,0.71,0.0558,rain,10.11
TS11-QB-4217,bus,15.2,34.4,2960,0.493,0.0707,fog,12.79
TS08-HG-5528,bus,51.2,71.9,637,0.078,0.0886,rain,31.76
TS08-HK-4092,truck,3.5,50.3,5571,0.999,0.0072,clear,2.04
TS08-LY-5551,truck,52.5,45.5,3966,0.016,0.0237,clear,22.07
TS09-ZP-3009,bus,6.2,41.8,5189,0.495,0.0751,clear,5.28
TS08-MM-2345,truck,25.3,24.1,1827,0.367,0.0111,clear,12.85
TS07-JX-7455,van,48.6,39.6,206,0.776,0.0407,fog,15.45
TS11-EK-6231,bus,26.2,85.0,957,0.736,0.0332,clear,18.7
TS09-KJ-1464,van,49.9,20.5,955,0.628,0.0514,clear,22.07
TS11-YC-4722,van,8.7,91.5,2026,0.075,0.0986,clear,4.36
TS09-UZ-4746,truck,32.2,20.9,3029,0.237,-0.0076,clear,16.74
TS10-YV-3613,van,36.2,42.0,531,0.094,0.0382,clear,9.62
